one_one,one_two,two_one,two_two,three_one,three_two,four_one,four_two,FinalCGPA
3.85,3.71,3.57,3.81,3.82,4,3.88,3.88,3.82
3.76,3.56,3.41,3.64,3.65,3.79,3.77,3.9,3.69
2.88,2.9,2.75,2.8,2.74,2.71,2.7,2.97,2.8
2.91,3.19,2.82,2.76,2.61,3.03,2.81,3.21,2.94
3.53,3.62,3.59,3.77,3.81,3.83,3.76,3.92,3.74
3.39,3.25,3.04,3.22,3.35,3.48,3.58,3.86,3.4
3.41,3.13,3.09,3.02,2.69,2.97,3.04,3.38,3.09
3.24,3.12,3.31,3.29,3.14,3.43,3.38,3.55,3.31
3.44,3.23,3.08,3.11,3.49,3.78,3.8,3.95,3.49
3.35,3.27,2.78,2.73,2.77,3.06,2.99,3.39,3.04
3.74,3.67,3.37,3.7,3.94,3.92,3.96,3.9,3.78
3.92,3.92,3.48,3.22,3.2,3.78,3.75,3.54,3.59
3.72,3.73,3.8,3.48,3.67,3.63,3.17,3.33,3.57
2.9,2.9,3.16,2.7,2.77,3.15,3.33,3.49,3.08
3.22,2.88,2.32,2.45,2.93,3.15,3.44,3.75,3.07
3.83,3.79,3.93,3.86,3.85,3.97,3.92,3.89,3.88
3.04,3.37,3.17,3.28,3.1,3.57,3.51,3.5,3.32
3.19,2.83,3.2,3.22,3.43,3.78,3.9,3.79,3.45
3.37,3.25,3.24,3.07,3.25,3.27,3.14,3.43,3.27
3.64,3.1,3.36,3.2,3.42,3.67,3.71,3.9,3.5
3.04,2.83,2.95,2.67,2.95,3.16,3.41,3.76,3.13
3.93,3.75,3.61,3.53,3.6,3.89,3.69,3.9,3.74
3.24,2.87,3.65,3.81,3.85,3.98,4,3.9,3.68
3.95,3.63,3.8,3.72,3.79,3.98,3.88,3.94,3.84
3.51,3.27,3.63,3.48,3.8,3.9,3.8,3.88,3.66
2.68,2.31,2.2,2.44,2.99,2.8,2.7,3.09,2.67
3.71,3.79,3.52,2.97,3.24,3.67,3.6,3.72,3.52
3.75,3.38,3.54,3.34,3.78,3.9,3.76,3.83,3.66
3.09,3,2.75,2.74,3.43,3.24,3.31,3.48,3.2
3.27,3.19,2.96,2.9,3.18,3.24,3.48,3.38,3.19
3.33,2.77,2.63,2.78,3.06,2.93,3.07,3.43,2.99
3.72,3.75,3.79,3.53,3.77,3.76,3.77,3.9,3.75
3.66,3.54,3.39,3.09,3.35,3.47,3.63,3.51,3.47
3.66,3.73,3.76,3.7,3.48,3.91,3.88,3.9,3.76
3.73,3.5,3.35,3.48,3.66,3.87,3.82,3.84,3.66
3.49,3.5,3.46,3.45,3.59,3.63,3.67,3.51,3.54
3.95,3.75,3.4,3.71,3.69,3.83,3.75,3.85,3.74
3.79,3.37,3.54,3.61,3.52,3.68,3.57,3.61,3.59
3.69,3.79,3.56,3.68,3.92,3.93,3.78,3.95,3.79
3.94,3.94,3.93,3.9,3.96,3.93,4,3.93,3.94
2.94,2.87,3.37,3.55,3.74,3.85,3.61,3.65,3.46
2.65,2.92,2.57,2.59,2.57,2.98,2.88,3.15,2.81
3.12,3.17,3.11,3.23,2.75,3.55,3.33,3.36,3.21
3.27,3.54,3.74,3.37,3.27,3.61,3.71,3.68,3.52
